id;title;author;doi;publication_date;repository_link;repository_name;repo_type;fair_data_repository;grant_number;grant_end_date;grant_end_year;main_discipline_level1;research_area_short;is_open;is_cc;is_gpl;is_odc;is_mit;is_apache;is_public;is_bsd;is_any_open
F7D764A6-4FDE-4D72-ACD8-000015504990;The Potential of Exosomes in Allergy Immunotherapy;"Engeroff, Paul; Vogel, Monique";10.3390/vaccines10010133;2022-01-17;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8780385/;Link to paper/supplementary material;Link to paper/supplementary material;NA;179165;2022-09-30;2022;Biology and Medicine;LS;NA;NA;NA;NA;NA;NA;NA;NA;NA
7B8EACE3-E0B4-466E-BE6A-000B2B47F731;Nonadiabatic quantum transition-state theory in the golden-rule limit. II. Overcoming the pitfalls of the saddle-point and semiclassical approximations;"Fang, Wei; Richardson, Jeremy O.; Thapa, Manish J.";10.1063/1.5131092;2019-12-07;https://aip.scitation.org/doi/suppl/10.1063/1.5131092;Link to paper/supplementary material;Link to paper/supplementary material;NA;175696;2021-09-30;2021;Mathematics, Natural- and Engineering Sciences;MINT;NA;NA;NA;NA;NA;NA;NA;NA;NA
C225882E-4E33-467F-85D5-00306DA8A1C6;Field observations of snow instabilities;"Mitterer, Christoph; Reuter, Benjamin; Schweizer, Jürg; Techel, Frank";10.16904/envidat.222;NA;https://www.envidat.ch/dataset/field-observations-of-snow-instabilities;EnviDat;Repository (FAIR);TRUE;186756;2021-06-30;2021;Mathematics, Natural- and Engineering Sciences;MINT;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
6E674D21-E2C4-4BA2-9F6F-00325EFEDD19;Self-synchronized cost-effective time-resolved measurements at x-ray free-electron lasers with femtosecond resolution;Dijkstal, Philipp;10.5281/zenodo.5759824;2021-11-30;https://zenodo.org/record/5759824#.YhenN3XMLLc;Zenodo;Repository (FAIR);TRUE;175498;2021-12-31;2021;Mathematics, Natural- and Engineering Sciences;MINT;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
0522BD6B-5298-4962-B525-003E0B8187AB;Cryo-EM structure of a dimer of undecameric human CALHM4 in the absence of Ca2+;"Drożdżyk, Katarzyna; Dutzler, Raimund; Sawicka, Marta";NA;NA;https://www.rcsb.org/structure/6YTL;RCSB PDB;Repository (FAIR);TRUE;182828;2021-09-30;2021;Biology and Medicine;LS;NA;NA;NA;NA;NA;NA;NA;NA;NA
A1E59418-7D58-4C78-9B06-004EDD062B87;Primary data of the SNAKE-BYTE project;"Alcoba, Gabriel; Chappuis, Francois; Ochoa, Carlos; Ray, Nicolas";10.26037/yareta:sydjpmew5nhq7l67qbnyuzqbym;2022-06-08;https://yareta.unige.ch/deposit/e7d4d3fe-5302-4271-b494-6c0638e53a59/detail/960697b0-96eb-4f0f-afdf-805b8a6601c3/files;YARETA;Repository (FAIR);TRUE;176271;2022-05-31;2022;Biology and Medicine;LS;NA;NA;NA;NA;NA;NA;NA;NA;NA
910FE861-353E-4787-8922-0052B242707E;CXCR3+ Treg cells suppress Th1-immune responses through expression of the co-inhibitory receptors CD85k and Lag-3;Robinson, Mark;NA;2018-06-30;https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6156/;Array Express;Repository (FAIR);TRUE;150663;2018-11-30;2017/18;Biology and Medicine;LS;NA;NA;NA;NA;NA;NA;NA;NA;NA
B20219E0-3C96-4EFB-B5BE-008DAFF05E2B;The CRL4 DCAF1 cullin‐RING ubiquitin ligase is activated following a switch in oligomerization state;"Abdul Rahman, Wassim; Basters, Anja; Cavadini, Simone; Kempf, Georg; Mohamed, Weaam I; Potenza, Alessandro; Rabl, Julius; Reichermeier, Kurt; Schenk, Andreas D; Thomä, Nicolas H";10.2210/pdb7okq/pdb;2021-11-15;https://www.rcsb.org/structure/7OKQ;RCSB PDB;Repository (FAIR);TRUE;179541;2022-12-31;2022;Biology and Medicine;LS;NA;NA;NA;NA;NA;NA;NA;NA;NA
23CD8A42-97BE-418A-9AFC-0096568FF5B9;Coaxial Octocopter Open Data With Digicam - IGN Calibration 2;"Cucci, Davide Antonio; Joseph Paul, Kenneth; Skaloud, Jan";10.5281/zenodo.4705424;2021-04-20;https://zenodo.org/record/4705424;Zenodo;Repository (FAIR);TRUE;182072;2022-09-30;2022;Mathematics, Natural- and Engineering Sciences;MINT;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
B90C90CE-685B-4D2C-A406-009A970AC450;Pre-post intervention outcome data;Darwiche, Joëlle;NA;2020-12-08;https://forsbase.unil.ch/datasets/my-dataset-data-file-description-detail/17245/2198/10487/;SWISSUbase;Repository (FAIR);TRUE;159437;2020-03-31;2020;Humanities and Social Sciences;SSH;NA;NA;NA;NA;NA;NA;NA;NA;NA
