Number;EffectiveEndDate;MainDisciplineLevel1;CallTitle;OutputDataSetId
164200;2018-08-31;Biology and Medicine;Projektförderung 2015;NA
181557;2019-12-31;Biology and Medicine;Early Postdoc.Mobility 2018 März;NA
165497;2019-04-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
185241;2023-12-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;NA
200057;2022-08-31;Humanities and Social Sciences;Early Postdoc.Mobility 2020 September;NA
159715;2018-04-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2014;NA
175289;2019-02-28;Biology and Medicine;Early Postdoc.Mobility 2017;NA
165864;2019-12-31;Humanities and Social Sciences;Projektförderung 2015;NA
197611;2022-09-30;Humanities and Social Sciences;Projektförderung 2020 April Abt. 1;NA
167068;2020-08-31;Biology and Medicine;NFP 72: Gesuch;NA
191328;2022-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2019 September;NA
185193;2020-12-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;NA
190075;2020-12-31;Biology and Medicine;SNF-Förderungsprofessuren: Fortsetzgsg. 2019 Juli;NA
154867;2017-10-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2014;NA
163661;2021-04-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2015;B238CA64-F8D8-41CD-81DC-8DFCCA9ECB83
177832;2018-08-31;Mathematics, Natural- and Engineering Sciences;Advanced Postdoc.Mobility 2017;NA
199456;2022-03-31;Humanities and Social Sciences;Doc.Mobility 2020 September;NA
156097;2018-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2014;NA
165264;2018-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2015;NA
172456;2022-02-28;Humanities and Social Sciences;NFP 73: Gesuch 2017;NA
166483;2019-06-30;Biology and Medicine;Projektförderung 2015;NA
181709;2020-11-30;Biology and Medicine;Early Postdoc.Mobility 2018 März;NA
191208;2021-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2019 September;DB975343-2327-40D0-A336-8553C1011FB3
191208;2021-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2019 September;3FD03495-8B34-4518-9FDE-6A7AB3948906
178801;2022-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
162579;2018-11-30;Biology and Medicine;Projektförderung 2015;NA
182312;2022-09-30;Biology and Medicine;Projektförderung 2018 April Abt. 3;NA
184156;2020-07-31;Humanities and Social Sciences;Early Postdoc.Mobility 2018 September;NA
171774;2018-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
156998;2018-02-28;Biology and Medicine;Projektförderung 2014;NA
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;C58C9389-30D8-4CC7-9A7D-A42FFF164389
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;A3179F77-9E43-4FC7-8D1E-E6CC2DBE1CBF
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;74D9CA0A-3343-4F54-9A7D-3329A6F9D1DC
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;00E89C02-1162-44C7-B55B-33A5040C6959
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;DBB52A5E-CE01-4934-8D5C-90FFF6AA56F1
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;46DE65C0-B6CC-4485-9F04-23BBD5CCDC77
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;B2947C90-FED4-47E8-9541-A45C2AA4F723
169016;2020-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;F25B7B7A-054D-4A20-A837-7B4A5A0E3654
190164;2021-08-31;Humanities and Social Sciences;Spark 2019 Juli;NA
185376;2023-08-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;NA
162020;2018-07-31;Humanities and Social Sciences;Doc.CH 2015;NA
191836;2022-06-30;Biology and Medicine;Early Postdoc.Mobility 2019 September;NA
169867;2019-10-31;Humanities and Social Sciences;Projektförderung 2016 April Abt. 1;NA
181877;2021-05-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2018 März;NA
182284;2021-09-30;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;NA
171982;2018-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
166331;2020-04-30;Biology and Medicine;Projektförderung 2015;NA
165800;2020-08-31;Biology and Medicine;Projektförderung 2015;92AC3D16-04A9-4754-909F-7F9C09B7A7AA
165800;2020-08-31;Biology and Medicine;Projektförderung 2015;7A2C0368-8FB2-442C-9434-0606E509E4ED
162190;2019-02-28;Mathematics, Natural- and Engineering Sciences;Korean-Swiss STP 2015;NA
167635;2017-12-31;Humanities and Social Sciences;Advanced Postdoc.Mobility 2016;NA
175643;2022-12-31;Biology and Medicine;Projektförderung 2017 April Abt. 3;D6D4557D-BFD7-47AA-B9D4-22F436911A92
175643;2022-12-31;Biology and Medicine;Projektförderung 2017 April Abt. 3;B75E481D-FBF5-4DB7-A68A-59DFDE8F9009
176680;2022-07-31;Mathematics, Natural- and Engineering Sciences;Bridge - Discovery 2017 April;19516FBA-349A-44FD-AE92-9B6F7E844944
176680;2022-07-31;Mathematics, Natural- and Engineering Sciences;Bridge - Discovery 2017 April;C9A7E32C-39D6-40C1-9FBB-30CEAB1B9B78
173127;2021-08-31;Biology and Medicine;Projektförderung 2016 Oktober Abt. 3;NA
187865;2020-07-31;Humanities and Social Sciences;Doc.Mobility 2019 März;NA
167594;2019-07-31;Humanities and Social Sciences;Rückkehr CH Advanced Postdoc.Mobility 2016;NA
169242;2020-04-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;NA
181467;2019-06-30;Humanities and Social Sciences;Doc.Mobility 2018 März;NA
